,'Actb','Ahcy','Aqp3','Atp12a','Bmp4','Cdx2','Creb3l2','Cebpa','Dab2','Dppa1','Eomes','Esrrb','Fgf4','Fgfr2','Fn1','Gapdh','Gata3','Gata4','Gata6','Grhl1','Grhl2','Hand1','Hnf4a','Id2','Klf2','Klf4','Klf5','Krt8','Lcp1','Mbnl3','Msc','Msx2','Nanog','Pdgfa','Pdgfra','Pecam1','Pou5f1','Runx1','Sox2','Sall4','Sox17','Snai1','Sox13','Tcfap2a','Tcfap2c','Tcf23','Utf1','Tspan8'
'Actb',0.91672,0.17323,0.35824,0.47614,-0.1392,0.41824,0.34963,-0.11546,0.43373,0.3377,0.48344,-0.10648,-0.13233,0.15244,-0.22031,0.28977,0.52054,-0.16747,0.019123,0.30013,0.15855,-0.23121,-0.043117,0.41181,-0.27655,-0.26325,0.19322,0.46642,0.40822,0.28878,0.049306,0.15359,-0.090795,0.18472,-0.17627,-0.32016,-0.40096,0.10195,-0.21855,-0.33816,0.038997,-0.36663,0.053131,0.34608,-0.15983,-0.20776,-0.1136,0.29931
'Ahcy',0.17323,0.027752,-0.055472,-0.14376,0.23355,-0.029048,0.28393,0.049996,0.040366,-1.0065,-0.11638,0.4899,1.0937,-0.55335,0.59299,-0.54093,-0.071493,0.44875,0.30865,-0.37161,-0.078163,0.56183,-0.083666,-0.6731,0.51171,0.45804,0.18498,-0.36404,-0.77184,-0.48146,0.0051665,-0.37371,0.663,-0.033626,0.4928,0.19531,-0.056545,0.056636,0.035142,-0.16055,0.27294,0.23911,0.12563,-0.3542,-0.16869,0.68012,0.62477,-0.66241
'Aqp3',0.35824,-0.055472,0.86062,0.29419,-0.07991,0.44523,0.7082,-0.95145,0.27696,1.3031,0.15881,0.22041,-1.2097,0.63396,-0.60465,0.93655,0.46897,-0.2299,0.054577,0.65524,-0.089893,-0.83336,0.60168,0.88662,-0.23276,-0.20632,0.33871,0.79984,1.2097,0.39065,0.032828,0.51877,-0.3238,0.47944,-0.55274,-0.0093619,0.36905,-0.34921,0.16396,0.14296,-0.45914,-0.32328,-0.20606,0.35098,0.37185,-0.72143,-0.29844,0.57733
'Atp12a',0.47614,-0.14376,0.29419,0.86751,-0.18549,0.48198,0.78657,-0.83022,0.37986,1.402,0.30839,-0.20818,-0.9028,0.54786,-0.54699,0.99966,0.54661,-0.23081,-0.20513,0.66582,-0.022008,-1.0213,0.46076,1.0427,-0.6692,-0.44789,0.10765,0.70917,1.0755,0.53181,-0.071303,0.59842,-0.75951,0.23738,-0.57791,-0.35883,-0.21915,-0.014152,-0.064076,-0.19572,-0.17124,-0.43003,-0.1018,0.61335,-0.069551,-0.76657,-0.6286,0.72806
'Bmp4',-0.1392,0.23355,-0.07991,-0.18549,1.0658,-0.46434,1.1222,-1.1116,-0.48036,0.21585,-0.30907,0.48644,-0.077886,-0.39106,0.54582,0.54626,-0.48669,0.30506,-0.27186,0.036553,-0.73144,-0.63114,0.86646,-0.19494,-0.085155,0.1539,-0.3204,-0.24074,0.1874,-0.36978,-0.080853,-0.073937,-0.14847,-0.18521,0.29053,0.50647,0.25825,-0.47557,0.77414,-0.11182,0.123,0.13042,-0.41072,-0.30381,-0.384,0.010883,0.15792,-0.29516
'Cdx2',0.41824,-0.029048,0.44523,0.48198,-0.46434,0.89744,0.52972,-0.56724,0.35714,0.95216,0.21922,0.013829,-0.58877,0.46324,-0.48257,0.53303,0.57994,-0.10111,-0.019447,0.55303,0.12809,-0.6048,0.29076,0.75214,-0.3037,-0.24144,0.2372,0.55698,0.77813,0.34785,-0.05158,0.37276,-0.383,0.2679,-0.50583,-0.23295,-0.041053,-0.072166,-0.10874,-0.055728,-0.22026,-0.30694,-0.03464,0.44952,0.21298,-0.53741,-0.38748,0.51183
'Creb3l2',0.34963,0.28393,0.7082,0.78657,1.1222,0.52972,0.92075,-0.073372,-0.23986,-1.0348,-0.20454,0.37152,1.0486,-0.53188,0.726,-0.54168,-0.41749,0.74611,0.070449,-0.40513,-0.30218,0.41071,0.12747,-0.80736,0.22048,0.30238,-0.27917,-0.7092,-1.0102,-0.44816,-0.35446,-0.51417,0.1457,-0.5079,0.75387,0.18753,-0.32981,0.16241,0.089765,-0.30438,0.4607,0.4425,-0.02779,-0.43249,-0.44416,0.73619,0.30733,-0.68501
'Cebpa',-0.11546,0.049996,-0.95145,-0.83022,-1.1116,-0.56724,-0.073372,-0.10343,0.034719,0.91993,0.16144,0.24673,-1.1252,0.67413,-0.55457,0.54887,0.14897,0.14158,-0.14469,0.68067,-0.07066,-0.49533,0.37285,0.58633,-0.2466,-0.24971,0.0025845,0.4064,0.78714,0.47994,-0.20835,0.22726,-0.37184,0.14803,-0.34958,0.057757,0.26612,-0.27519,0.070276,0.35357,-0.34426,-0.05091,-0.17465,0.234,0.34897,-0.51657,-0.44751,0.54944
'Dab2',0.43373,0.040366,0.27696,0.37986,-0.48036,0.35714,-0.23986,0.034719,0.86216,0.97399,0.31573,-0.16304,-0.98543,0.70068,-0.56241,0.6205,0.52774,-0.060384,0.15256,0.42611,-0.26093,-0.80045,0.41118,0.75407,-0.57572,-0.36562,0.2684,0.50943,0.73304,0.31985,-0.056915,0.51082,-0.57569,0.24834,-0.31935,-0.43063,0.0020304,0.26215,-0.24094,-0.065627,-0.032421,-0.34593,-0.21279,0.32611,-0.096271,-0.48575,-0.32504,0.40479
'Dppa1',0.3377,-1.0065,1.3031,1.402,0.21585,0.95216,-1.0348,0.91993,0.97399,0.12791,0.50965,-0.21477,0.74469,-0.11871,-0.22651,-0.31593,0.52617,-0.059906,-0.36969,0.28225,0.49535,0.23454,-0.65312,0.22929,-0.15789,-0.40138,-0.17182,-0.016496,-0.17547,0.47916,-0.14652,-0.29456,-0.23191,-0.22683,-0.43845,-0.55105,-1.0856,0.13762,-0.58215,-0.6984,0.0059286,-0.35198,0.37098,0.40203,-0.28322,-0.17762,-0.51909,0.51423
